"Value","Percentile","TotalCount","1/(1-Percentile)"
1.43,0.000000000000,2,1.00
6.85,0.100000000000,26014,1.11
10.81,0.200000000000,52385,1.25
14.88,0.300000000000,78043,1.43
19.92,0.400000000000,104411,1.67
25.95,0.500000000000,130186,2.00
29.10,0.550000000000,142942,2.22
32.51,0.600000000000,156044,2.50
36.44,0.650000000000,169325,2.86
41.42,0.700000000000,182238,3.33
48.76,0.750000000000,194880,4.00
54.26,0.775000000000,201484,4.44
61.60,0.800000000000,207909,5.00
71.30,0.825000000000,214337,5.71
82.31,0.850000000000,220808,6.67
96.99,0.875000000000,227483,8.00
105.91,0.887500000000,230648,8.89
115.87,0.900000000000,233819,10.00
127.40,0.912500000000,237030,11.43
141.56,0.925000000000,240359,13.33
159.38,0.937500000000,243681,16.00
167.77,0.943750000000,245174,17.78
178.26,0.950000000000,246889,20.00
188.74,0.956250000000,248474,22.86
201.33,0.962500000000,250098,26.67
214.96,0.968750000000,251663,32.00
223.35,0.971875000000,252494,35.56
231.74,0.975000000000,253277,40.00
241.17,0.978125000000,254071,45.71
252.71,0.981250000000,254889,53.33
266.34,0.984375000000,255689,64.00
274.73,0.985937500000,256202,71.11
281.02,0.987500000000,256503,80.00
291.50,0.989062500000,256983,91.43
299.89,0.990625000000,257324,106.67
312.48,0.992187500000,257714,128.00
318.77,0.992968750000,257928,142.22
325.06,0.993750000000,258120,160.00
333.45,0.994531250000,258320,182.86
343.93,0.995312500000,258551,213.33
354.42,0.996093750000,258739,256.00
360.71,0.996484375000,258832,284.44
367.00,0.996875000000,258930,320.00
377.49,0.997265625000,259040,365.71
387.97,0.997656250000,259147,426.67
396.36,0.998046875000,259241,512.00
404.75,0.998242187500,259300,568.89
408.94,0.998437500000,259334,640.00
415.24,0.998632812500,259389,731.43
421.53,0.998828125000,259438,853.33
434.11,0.999023437500,259496,1024.00
438.30,0.999121093750,259517,1137.78
444.60,0.999218750000,259540,1280.00
452.98,0.999316406250,259565,1462.86
459.28,0.999414062500,259589,1706.67
469.76,0.999511718750,259614,2048.00
478.15,0.999560546875,259627,2275.56
482.34,0.999609375000,259643,2560.00
486.54,0.999658203125,259655,2925.71
490.73,0.999707031250,259663,3413.33
501.22,0.999755859375,259679,4096.00
503.32,0.999780273438,259683,4551.11
509.61,0.999804687500,259689,5120.00
522.19,0.999829101563,259697,5851.43
524.29,0.999853515625,259702,6826.67
528.48,0.999877929688,259709,8192.00
532.68,0.999890136719,259711,9102.22
534.77,0.999902343750,259715,10240.00
541.07,0.999914550781,259717,11702.86
549.45,0.999926757813,259720,13653.33
574.62,0.999938964844,259724,16384.00
583.01,0.999945068359,259725,18204.44
587.20,0.999951171875,259727,20480.00
591.40,0.999957275391,259728,23405.71
595.59,0.999963378906,259730,27306.67
612.37,0.999969482422,259732,32768.00
612.37,0.999972534180,259732,36408.89
616.56,0.999975585938,259733,40960.00
620.76,0.999978637695,259734,46811.43
641.73,0.999981689453,259735,54613.33
645.92,0.999984741211,259736,65536.00
645.92,0.999986267090,259736,72817.78
645.92,0.999987792969,259736,81920.00
650.12,0.999989318848,259737,93622.86
650.12,0.999990844727,259737,109226.67
658.51,0.999992370605,259738,131072.00
658.51,0.999993133545,259738,145635.56
658.51,0.999993896484,259738,163840.00
658.51,0.999994659424,259738,187245.71
658.51,0.999995422363,259738,218453.33
671.09,0.999996185303,259739,262144.00
671.09,1.000000000000,259739,Infinity
