"Value","Percentile","TotalCount","1/(1-Percentile)"
1.44,0.000000000000,1,1.00
6.82,0.100000000000,6497,1.11
10.55,0.200000000000,12971,1.25
14.48,0.300000000000,19538,1.43
19.01,0.400000000000,25925,1.67
24.90,0.500000000000,32479,2.00
28.31,0.550000000000,35711,2.22
31.98,0.600000000000,38938,2.50
36.18,0.650000000000,42149,2.86
41.42,0.700000000000,45347,3.33
49.55,0.750000000000,48649,4.00
55.57,0.775000000000,50236,4.44
63.44,0.800000000000,51853,5.00
72.88,0.825000000000,53447,5.71
83.89,0.850000000000,55056,6.67
98.57,0.875000000000,56706,8.00
107.48,0.887500000000,57489,8.89
118.49,0.900000000000,58305,10.00
131.07,0.912500000000,59132,11.43
145.75,0.925000000000,59926,13.33
162.53,0.937500000000,60742,16.00
170.92,0.943750000000,61148,17.78
180.36,0.950000000000,61560,20.00
189.79,0.956250000000,61937,22.86
200.28,0.962500000000,62347,26.67
212.86,0.968750000000,62764,32.00
220.20,0.971875000000,62968,35.56
228.59,0.975000000000,63153,40.00
239.08,0.978125000000,63351,45.71
252.71,0.981250000000,63558,53.33
266.34,0.984375000000,63761,64.00
274.73,0.985937500000,63878,71.11
283.12,0.987500000000,63970,80.00
291.50,0.989062500000,64071,91.43
301.99,0.990625000000,64168,106.67
316.67,0.992187500000,64267,128.00
325.06,0.992968750000,64315,142.22
333.45,0.993750000000,64375,160.00
341.84,0.994531250000,64423,182.86
350.22,0.995312500000,64464,213.33
360.71,0.996093750000,64517,256.00
367.00,0.996484375000,64540,284.44
375.39,0.996875000000,64570,320.00
381.68,0.997265625000,64593,365.71
392.17,0.997656250000,64620,426.67
400.56,0.998046875000,64645,512.00
404.75,0.998242187500,64658,568.89
408.94,0.998437500000,64667,640.00
415.24,0.998632812500,64684,731.43
421.53,0.998828125000,64699,853.33
425.72,0.999023437500,64706,1024.00
429.92,0.999121093750,64711,1137.78
436.21,0.999218750000,64717,1280.00
440.40,0.999316406250,64726,1462.86
444.60,0.999414062500,64730,1706.67
459.28,0.999511718750,64737,2048.00
463.47,0.999560546875,64740,2275.56
469.76,0.999609375000,64742,2560.00
478.15,0.999658203125,64746,2925.71
486.54,0.999707031250,64750,3413.33
492.83,0.999755859375,64752,4096.00
494.93,0.999780273438,64753,4551.11
507.51,0.999804687500,64755,5120.00
513.80,0.999829101563,64756,5851.43
518.00,0.999853515625,64758,6826.67
522.19,0.999877929688,64760,8192.00
522.19,0.999890136719,64760,9102.22
524.29,0.999902343750,64761,10240.00
526.39,0.999914550781,64762,11702.86
549.45,0.999926757813,64763,13653.33
562.04,0.999938964844,64764,16384.00
562.04,0.999945068359,64764,18204.44
562.04,0.999951171875,64764,20480.00
574.62,0.999957275391,64765,23405.71
574.62,0.999963378906,64765,27306.67
637.53,0.999969482422,64766,32768.00
637.53,0.999972534180,64766,36408.89
637.53,0.999975585938,64766,40960.00
637.53,0.999978637695,64766,46811.43
637.53,0.999981689453,64766,54613.33
767.56,0.999984741211,64767,65536.00
767.56,1.000000000000,64767,Infinity
