"Value","Percentile","TotalCount","1/(1-Percentile)"
0.55,0.000000000000,2,1.00
4.72,0.100000000000,30791,1.11
5.60,0.200000000000,60720,1.25
6.42,0.300000000000,89828,1.43
7.21,0.400000000000,120536,1.67
7.83,0.500000000000,149594,2.00
8.13,0.550000000000,164540,2.22
8.45,0.600000000000,180748,2.50
8.78,0.650000000000,195973,2.86
9.11,0.700000000000,208923,3.33
9.63,0.750000000000,224512,4.00
9.96,0.775000000000,231974,4.44
10.35,0.800000000000,239229,5.00
10.88,0.825000000000,246854,5.71
11.47,0.850000000000,253976,6.67
12.26,0.875000000000,261674,8.00
12.65,0.887500000000,265076,8.89
13.11,0.900000000000,268707,10.00
13.63,0.912500000000,272353,11.43
14.35,0.925000000000,276129,13.33
15.60,0.937500000000,279926,16.00
16.52,0.943750000000,281744,17.78
17.69,0.950000000000,283561,20.00
19.79,0.956250000000,285478,22.86
23.33,0.962500000000,287283,26.67
28.70,0.968750000000,289145,32.00
31.98,0.971875000000,290086,35.56
35.65,0.975000000000,291010,40.00
40.63,0.978125000000,291960,45.71
46.66,0.981250000000,292883,53.33
54.00,0.984375000000,293810,64.00
57.93,0.985937500000,294278,71.11
62.65,0.987500000000,294735,80.00
69.21,0.989062500000,295222,91.43
77.59,0.990625000000,295663,106.67
86.51,0.992187500000,296134,128.00
91.75,0.992968750000,296358,142.22
96.99,0.993750000000,296591,160.00
103.28,0.994531250000,296828,182.86
110.10,0.995312500000,297065,213.33
117.44,0.996093750000,297300,256.00
121.63,0.996484375000,297407,284.44
127.40,0.996875000000,297529,320.00
136.31,0.997265625000,297639,365.71
143.65,0.997656250000,297761,426.67
150.99,0.998046875000,297889,512.00
156.24,0.998242187500,297931,568.89
164.63,0.998437500000,297989,640.00
170.92,0.998632812500,298052,731.43
176.16,0.998828125000,298110,853.33
182.45,0.999023437500,298176,1024.00
184.55,0.999121093750,298192,1137.78
190.84,0.999218750000,298222,1280.00
199.23,0.999316406250,298252,1462.86
205.52,0.999414062500,298285,1706.67
212.86,0.999511718750,298312,2048.00
214.96,0.999560546875,298323,2275.56
223.35,0.999609375000,298339,2560.00
230.69,0.999658203125,298354,2925.71
238.03,0.999707031250,298367,3413.33
246.42,0.999755859375,298386,4096.00
250.61,0.999780273438,298390,4551.11
253.76,0.999804687500,298399,5120.00
260.05,0.999829101563,298405,5851.43
262.14,0.999853515625,298411,6826.67
263.19,0.999877929688,298423,8192.00
263.19,0.999890136719,298423,9102.22
264.24,0.999902343750,298426,10240.00
270.53,0.999914550781,298430,11702.86
278.92,0.999926757813,298435,13653.33
281.02,0.999938964844,298439,16384.00
281.02,0.999945068359,298439,18204.44
299.89,0.999951171875,298440,20480.00
320.86,0.999957275391,298450,23405.71
320.86,0.999963378906,298450,27306.67
320.86,0.999969482422,298450,32768.00
320.86,0.999972534180,298450,36408.89
320.86,0.999975585938,298450,40960.00
320.86,0.999978637695,298450,46811.43
320.86,0.999981689453,298450,54613.33
320.86,0.999984741211,298450,65536.00
320.86,0.999986267090,298450,72817.78
322.96,0.999987792969,298454,81920.00
322.96,1.000000000000,298454,Infinity
