Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	06/02/2026 	_x86_64_	(64 CPU)

01:45:34 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:45:35 PM  all    4.58    0.00    0.73    0.19    0.03    0.05    0.00    0.00    0.00   94.42
01:45:35 PM    0    0.00    0.00    0.00    0.00    0.00    2.02    0.00    0.00    0.00   97.98
01:45:35 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:45:35 PM    2   85.15    0.00    3.96    3.96    0.99    0.99    0.00    0.00    0.00    4.95
01:45:35 PM    3    1.98    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   96.04
01:45:35 PM    4   63.00    0.00    3.00    4.00    1.00    0.00    0.00    0.00    0.00   29.00
01:45:35 PM    5    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
01:45:35 PM    6   33.00    0.00    2.00    2.00    0.00    0.00    0.00    0.00    0.00   63.00
01:45:35 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:45:35 PM    8   71.72    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   27.27
01:45:35 PM    9    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
01:45:35 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:45:35 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:45:35 PM   12    1.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   97.00
01:45:35 PM   13    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
01:45:35 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:45:35 PM   15    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
