Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	06/02/2026 	_x86_64_	(64 CPU)

04:10:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:10:57 PM  all    6.00    0.00    0.70    0.05    0.08    0.08    0.00    0.00    0.00   93.10
04:10:57 PM    0    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
04:10:57 PM    1    0.99    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00   95.05
04:10:57 PM    2   54.08    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   43.88
04:10:57 PM    3    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
04:10:57 PM    4   81.82    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   18.18
04:10:57 PM    5    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
04:10:57 PM    6   92.08    0.00    1.98    0.99    0.99    0.00    0.00    0.00    0.00    3.96
04:10:57 PM    7    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
04:10:57 PM    8   71.29    0.00    0.99    1.98    0.99    0.00    0.00    0.00    0.00   24.75
04:10:57 PM    9    0.99    0.00    1.98    0.00    0.99    0.00    0.00    0.00    0.00   96.04
04:10:57 PM   10    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:10:57 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:10:57 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:10:57 PM   13    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
04:10:57 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:10:57 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:10:57 PM   16   12.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
04:10:57 PM   17    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
