procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1   3976 390837312      0 884900    0    0     2     2    0    0  0  0 100  0  0
 1  0   3976 390790848      0 898036    0    0 11916     0 10548 7972  3  1 96  0  0
 2  0   3976 390748064      0 913236    0    0  2172     0 12291 9675  1  1 98  0  0
 3  0   3976 390634624      0 945140    0    0  4872  1056 11060 9571  3  1 96  0  0
 2  0   3976 390599424      0 965824    0    0 18976    36 8461 9329  3  0 96  0  0
 2  0   3976 390518208      0 975220    0    0  9556    32 4547 5123  3  0 97  0  0
 0  0   3976 390478400      0 980976    0    0  1520     4 3254 3342  2  0 98  0  0
 2  0   3976 390352352      0 1004284    0    0  8376    16 6292 10232  4  0 95  0  0
18  0   3976 390205856      0 1006144    0    0  1100 49404 8145 12049  7  1 93  0  0
14  0   3976 390184128      0 1006240    0    0    44    72 6993 9678  7  0 93  0  0
15  3   3976 390118688      0 1060388    0    0  1488    92 10257 15444  7  1 92  0  0
12  0   3976 390072704      0 1075920    0    0  3600   564 10012 16799  8  1 92  0  0
20  0   3976 390038880      0 1076260    0    0   196    20 8916 18789  7  1 92  0  0
29  0   3976 389927616      0 1077408    0    0   732 76044 10324 21450  8  1 91  0  0
15  0   3976 389891712      0 1077584    0    0     0     8 8655 23294  6  1 93  0  0
18  0   3976 389816320      0 1078032    0    0     0    48 9923 30800  7  1 92  0  0
23  0   3976 389805728      0 1078848    0    0   516   156 9935 32860  6  1 93  0  0
13  0   3976 389797952      0 1079072    0    0     0    40 9567 33747  6  1 93  0  0
14  0   3976 389797280      0 1079276    0    0     0    80 10021 35761  6  1 93  0  0
18  0   3976 389800064      0 1079648    0    0    72   380 10028 40083  6  1 93  0  0
15  0   3976 389738144      0 1080484    0    0    96     0 11102 40850  7  1 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0   3976 389734272      0 1081680    0    0    24   132 11926 40824  7  1 92  0  0
17  0   3976 389724704      0 1082588    0    0   604    24 10763 40751  6  1 92  0  0
