procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   3976 390621408      0 986204    0    0     2     2    0    0  0  0 100  0  0
 1  0   3976 390609248      0 986944    0    0   108     0 8467 5441  1  1 99  0  0
 1  0   3976 390600288      0 987044    0    0   128     0 9540 5494  0  1 99  0  0
 5  0   3976 390494816      0 1006392    0    0 19532  1024 9206 7926  2  1 97  0  0
 2  0   3976 390479392      0 1025420    0    0 21236    40 8127 9375  3  0 96  0  0
 3  0   3976 390368352      0 1036084    0    0 10252    60 4809 5520  3  0 97  0  0
 0  0   3976 390314816      0 1039008    0    0  2800   100 2967 3309  2  0 98  0  0
41  0   3976 390162816      0 1081156    0    0  2472    20 6493 7359  4  0 96  0  0
30  0   3976 390075616      0 1108204    0    0  1576 78516 8565 9192  7  0 92  0  0
11  0   3976 389992288      0 1135956    0    0   252    60 8983 11190  7  0 92  0  0
16  0   3976 389971360      0 1113220    0    0  4568    92 7822 15486  7  1 93  0  0
20  0   3976 389916800      0 1130220    0    0   544    44 10145 19780  8  1 91  0  0
19  0   3976 389888064      0 1130564    0    0   128    16 9728 24242  7  1 92  0  0
24  0   3976 389848928      0 1130888    0    0   184    52 9768 28412  7  1 92  0  0
17  0   3976 389744672      0 1131844    0    0   588   324 10258 33340  7  1 92  0  0
33  0   3976 389647168      0 1132480    0    0    72    56 10319 36873  6  1 93  0  0
33  0   3976 389634048      0 1133064    0    0    20   140 10186 36845  6  1 93  0  0
29  0   3976 389638560      0 1133236    0    0     0   112 9934 36710  6  1 93  0  0
39  0   3976 389605568      0 1133888    0    0     0    80 10138 37286  6  1 92  0  0
19  0   3976 389606208      0 1134164    0    0   100     0 9764 37577  6  1 93  0  0
27  0   3976 389602368      0 1135240    0    0    64     8 10097 37761  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
25  0   3976 389604288      0 1135488    0    0     0    52 10895 38151  6  1 93  0  0
16  0   3976 389606784      0 1135960    0    0    64     8 10913 38405  7  1 92  0  0
29  0   3976 389593152      0 1141848    0    0  5644    40 10904 38208  6  1 93  0  0
15  0   3976 389596576      0 1142244    0    0    64    12 10355 39277  6  1 93  0  0
25  0   3976 389674464      0 1142972    0    0   476    68 10865 39056  6  1 92  0  0
32  0   3976 389677600      0 1143316    0    0     0     0 10394 39401  6  1 93  0  0
37  0   3976 389636736      0 1144168    0    0   300   316 10655 39336  7  1 92  0  0
39  0   3976 389640000      0 1144264    0    0    64    76 10122 39486  7  1 92  0  0
27  0   3976 389564224      0 1145216    0    0    92    92 10497 39183  7  1 92  0  0
23  0   3976 389504448      0 1148532    0    0   252    36 11850 38950  7  1 92  0  0
19  0   3976 389506400      0 1149208    0    0     0    52 11425 40061  7  1 92  0  0
32  0   3976 389500416      0 1149824    0    0   324     8 11200 40373  6  1 92  0  0
31  0   3976 389498464      0 1150936    0    0   104    52 10877 40429  7  1 92  0  0
33  0   3976 389493344      0 1151180    0    0     0 45652 10857 40653  6  1 92  0  0
35  0   3976 389496672      0 1151644    0    0   128   416 10662 41111  6  1 93  0  0
20  0   3976 389484032      0 1152316    0    0     0   792 10847 40758  7  1 92  0  0
15  0   3976 389484704      0 1153112    0    0   144   124 11106 40840  7  1 92  0  0
26  0   3976 389474336      0 1154008    0    0   196     0 11886 41375  7  1 92  0  0
22  0   3976 389471968      0 1154296    0    0    36   556 10394 39795  6  1 93  0  0
35  0   3976 389465024      0 1157388    0    0     0    12 11655 40262  7  1 92  0  0
27  0   3976 389465120      0 1158064    0    0     0     0 11234 40505  7  1 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
44  0   3976 389469120      0 1160312    0    0    20    28 11252 41593  7  1 92  0  0
28  0   3976 389471552      0 1161288    0    0     0     0 10703 40742  6  1 93  0  0
15  0   3976 389479680      0 1161640    0    0     0     4 10757 41261  6  1 93  0  0
33  0   3976 389480800      0 1162180    0    0   288     0 11525 42610  6  1 92  0  0
22  0   3976 389517120      0 1162840    0    0     0     8 12414 41885  7  1 92  0  0
28  0   3976 389479936      0 1163596    0    0    96     0 11342 42197  7  1 92  0  0
23  0   3976 389482656      0 1163840    0    0     4   592 11270 42205  6  1 93  0  0
38  0   3976 389481184      0 1164232    0    0     0    16 11475 42381  6  1 93  0  0
21  0   3976 389467584      0 1167112    0    0     0     4 11711 42058  7  1 92  0  0
41  0   3976 389459264      0 1168060    0    0     0     8 12112 41605  7  1 92  0  0
40  0   3976 389457312      0 1168836    0    0     0     0 12045 42682  7  1 92  0  0
