procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0   3976 390867456      0 942016    0    0     2     2    0    0  0  0 100  0  0
 1  0   3976 390843648      0 947800    0    0   628     0 9275 6096  1  1 99  0  0
 2  0   3976 390777696      0 993864    0    0    20  1032 13319 9530  1  1 98  0  0
 4  1   3976 390655712      0 1053736    0    0 41944 10500 10125 8655  2  1 97  0  0
 2  0   3976 390641440      0 1071696    0    0 19900 41116 7727 9173  3  0 96  0  0
 2  0   3976 390530528      0 1085384    0    0 11876    32 5101 5651  3  0 97  0  0
 0  0   3976 390475936      0 1089612    0    0  3292     4 3298 3175  2  0 98  0  0
 2  0   3976 390205952      0 1103448    0    0 13624     8 5628 13546  2  1 97  0  0
37  0   3976 390183648      0 1108240    0    0  4292   812 12192 44973  7  1 91  0  0
15  0   3976 390138720      0 1108828    0    0   440 50160 12040 48844  8  1 91  0  0
17  0   3976 390104768      0 1109356    0    0   172    76 12779 52712  7  1 92  0  0
35  0   3976 390075744      0 1109808    0    0   136    44 12500 53430  6  1 93  0  0
20  0   3976 389974592      0 1111196    0    0   732    12 12966 53966  6  1 93  0  0
29  0   3976 389958720      0 1111812    0    0   136    72 13720 54682  6  1 92  0  0
28  0   3976 389924544      0 1112452    0    0     0     0 13217 55693  6  1 92  0  0
13  0   3976 389913184      0 1112852    0    0     0    56 13345 54027  6  1 92  0  0
18  0   3976 389910208      0 1113280    0    0     0   132 13299 56516  6  1 92  0  0
26  0   3976 389914560      0 1113600    0    0    16    40 12656 54095  6  1 92  0  0
28  0   3976 389919872      0 1115540    0    0     0    12 12938 53645  6  1 92  0  0
15  0   3976 389874752      0 1116400    0    0   224    72 12585 54480  6  1 92  0  0
17  0   3976 389821888      0 1117292    0    0   100     0 12684 53776  6  1 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
29  0   3976 389821632      0 1117332    0    0     0    48 12225 53647  6  1 93  0  0
