procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0   3976 390816832      0 964712    0    0     2     2    0    0  0  0 100  0  0
 1  0   3976 390718208      0 1006460    0    0 13032     0 12323 8811  3  1 96  0  0
 2  3   3976 390696672      0 1010724    0    0  1820  4088 10680 7863  1  1 98  0  0
 4  0   3976 390606208      0 1014972    0    0  4444 74888 9674 9013  3  1 96  1  0
 1  1   3976 390598592      0 1031288    0    0 18320   188 7212 8403  3  0 96  0  0
 2  0   3976 390507136      0 1040992    0    0  9804    32 4865 5257  3  0 97  0  0
 0  0   3976 390464768      0 1042860    0    0  1536     4 2253 2517  1  0 98  0  0
 9  0   3976 390377440      0 1051316    0    0  8648    16 8032 13105  3  0 96  0  0
 7  0   3976 390233088      0 1052492    0    0   544 27956 8185 11214  7  1 93  0  0
 8  0   3976 390200960      0 1052608    0    0    80    60 7208 11686  7  1 93  0  0
 9  0   3976 390175232      0 1057096    0    0  4412    40 8977 17164  7  1 92  0  0
 9  0   3976 390132160      0 1057936    0    0   720    44 12684 31406  8  1 92  0  0
 9  0   3976 390103552      0 1058256    0    0   128    20 12231 35438  7  1 92  0  0
 9  0   3976 390069376      0 1058472    0    0    20    52 11530 37332  7  1 92  0  0
 0  0   3976 390066624      0 1058676    0    0     0     0 3262 2520  1  0 98  0  0
 7  0   3976 390056384      0 1058968    0    0     0    52 14083 47378  6  1 93  0  0
 8  0   3976 389977344      0 1059816    0    0   536    44 16815 55914  6  1 92  0  0
 7  0   3976 389894848      0 1060476    0    0    28    40 15620 54590  7  1 92  0  0
 8  0   3976 389894720      0 1060832    0    0     0    72 18116 64809  6  1 92  0  0
10  0   3976 389910496      0 1061316    0    0   212     8 19547 71172  7  1 92  0  0
 9  0   3976 389923616      0 1062580    0    0     0     0 21920 79174  7  2 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0   3976 389923584      0 1063312    0    0   304    52 26482 91463  7  2 92  0  0
10  0   3976 389794432      0 1065672    0    0   784    44 32719 104961  7  2 91  0  0
 8  0   3976 389794400      0 1066164    0    0     0    40 29029 111788  7  2 91  0  0
 6  0   3976 389694528      0 1067188    0    0   224    12 32681 121520  7  2 91  0  0
 5  0   3976 389692064      0 1040868    0    0   480    64 35501 123399  7  3 91  0  0
 9  0   3976 389719712      0 1042040    0    0    92     0 38123 125945  8  3 89  0  0
11  0   3976 389769728      0 1042904    0    0     0    48 34830 123032  7  3 90  0  0
 5  0   3976 389677248      0 1045216    0    0    16    44 36510 127348  8  3 89  0  0
 5  0   3976 389676384      0 1046524    0    0     8    88 33709 118893  7  3 90  0  0
11  0   3976 389620960      0 1051960    0    0   192    20 35922 120743  8  3 89  0  0
10  0   3976 389625216      0 1053496    0    0    16    68 33940 117028  7  3 90  0  0
 6  0   3976 389639552      0 1055116    0    0   368     8 36049 122175  8  3 90  0  0
 7  0   3976 389652928      0 1056120    0    0     8   860 33764 119481  7  3 90  0  0
 6  0   3976 389718176      0 1057108    0    0   132 22348 34799 121573  7  3 90  0  0
 8  0   3976 389720736      0 1058108    0    0     0    48 34434 121482  7  3 90  0  0
12  0   3976 389725696      0 1059012    0    0     0    16 36394 128387  7  3 90  0  0
 8  0   3976 389724768      0 1060136    0    0   192    60 33977 116364  7  3 90  0  0
 6  0   3976 389680256      0 1061660    0    0    84     0 34695 119358  8  3 89  0  0
 7  0   3976 389576768      0 1063212    0    0    36   364 34786 121730  8  3 89  0  0
 5  0   3976 389564352      0 1070592    0    0    64     4 37610 133722  8  3 89  0  0
 5  0   3976 389582464      0 1071532    0    0     0     0 34231 121163  7  3 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0   3976 389667584      0 1072452    0    0     0    28 34325 116040  7  3 90  0  0
13  0   3976 389634176      0 1074068    0    0     0     0 35929 126872  7  3 90  0  0
 5  0   3976 389599904      0 1075008    0    0     4     0 35191 124449  7  3 90  0  0
 3  0   3976 389539104      0 1078920    0    0  1772     0 34371 117427  8  3 89  0  0
 7  0   3976 389493856      0 1079844    0    0     0     8 34362 121228  7  3 91  0  0
 8  0   3976 389477888      0 1080784    0    0     0     0 33501 124114  7  2 90  0  0
 6  0   3976 389488096      0 1081644    0    0     0     8 34465 119899  7  3 90  0  0
13  0   3976 389561024      0 1082428    0    0     0 26172 35262 117976  7  3 90  0  0
 4  0   3976 389521088      0 1088348    0    0   192     4 36236 123262  8  3 89  0  0
 7  0   3976 389508832      0 1090196    0    0   172     0 35429 124350  7  3 90  0  0
 6  0   3976 389500864      0 1091676    0    0    60     0 36565 122338  8  3 89  0  0
 9  0   3976 389498272      0 1093852    0    0    80     8 35910 127940  7  3 90  0  0
10  0   3976 389484000      0 1094900    0    0   112    20 34408 120296  7  3 90  0  0
13  0   3976 389470176      0 1096696    0    0   164     8 35736 122876  8  3 89  0  0
 8  0   3976 389467328      0 1098276    0    0     0     0 34451 120625  7  3 90  0  0
 7  0   3976 389462720      0 1099712    0    0     0     8 36427 125966  7  3 90  0  0
 6  0   3976 389468640      0 1100648    0    0     0     0 34812 121652  7  3 90  0  0
12  0   3976 389541504      0 1101580    0    0     0    20 34186 119306  7  3 90  0  0
 8  0   3976 389400928      0 1109524    0    0    28    24 36110 122340  9  3 88  0  0
 6  0   3976 389378432      0 1112216    0    0  1744     0 39804 128946  7  3 90  0  0
12  0   3976 389387552      0 1116852    0    0  2196    44 45811 124442  8  4 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15  0   3976 389408032      0 1117708    0    0     0   216 34713 116764  7  3 90  0  0
10  0   3976 389530208      0 1118648    0    0     0   548 35255 118967  7  3 90  0  0
10  0   3976 389528416      0 1120272    0    0     0 39136 37126 122534  8  3 90  0  0
 9  0   3976 389511840      0 1121200    0    0     0   684 35576 124071  7  3 90  0  0
 8  0   3976 389445120      0 1123792    0    0   284     0 35910 124087  8  3 89  0  0
 4  0   3976 389445984      0 1124580    0    0    20   256 34611 121902  7  3 90  0  0
 7  0   3976 389444608      0 1125440    0    0     0     0 32839 115175  7  3 90  0  0
 8  0   3976 389389856      0 1131436    0    0     0    16 36514 127783  8  3 89  0  0
 6  0   3976 389344288      0 1133112    0    0    88   256 35525 125423  7  3 90  0  0
 7  0   3976 389341408      0 1134108    0    0     0    12 35551 126358  7  3 90  0  0
 7  0   3976 389329216      0 1135520    0    0     0   740 37151 126383  7  3 90  0  0
 6  0   3976 389340320      0 1136928    0    0    16     0 35060 121315  8  3 89  0  0
13  0   3976 389340992      0 1137872    0    0     0     0 33685 120686  7  3 90  0  0
 6  0   3976 389359968      0 1138796    0    0     0     8 34784 119192  7  3 90  0  0
 8  0   3976 389371488      0 1139796    0    0    64     0 37080 129943  7  3 90  0  0
 6  0   3976 389418336      0 1141416    0    0     0    28 35962 122916  7  3 90  0  0
 7  0   3976 389353568      0 1143432    0    0   104     0 35806 123054  8  3 89  0  0
 9  0   3976 389310272      0 1150872    0    0   236    12 36873 124631  9  3 88  0  0
 7  0   3976 389350912      0 1151724    0    0     0 36840 37899 120339  9  3 88  0  0
 9  0   3976 389340896      0 1152824    0    0    96     4 36159 121689  9  3 88  0  0
12  0   3976 389142432      0 1142908    0    0     0     0 34678 117885  9  3 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0   3976 389186880      0 1143844    0    0     0    20 34005 117634  7  3 90  0  0
 5  0   3976 389258944      0 1145552    0    0   112     8 38612 130135  8  3 90  0  0
 9  0   3976 389380192      0 1146484    0    0     0     0 36396 121314  7  3 90  0  0
 4  0   3976 389277184      0 1148792    0    0     0     8 35012 119488  8  3 89  0  0
 7  0   3976 389190240      0 1149648    0    0     0     0 33795 118429  7  3 90  0  0
 3  0   3976 389184256      0 1150580    0    0     0     8 35611 124982  7  3 90  0  0
 7  0   3976 389185344      0 1157148    0    0   208    24 37385 121332  8  3 89  0  0
 6  0   3976 389183904      0 1158584    0    0     0    16 36848 127695  7  3 90  0  0
 6  0   3976 389184928      0 1159588    0    0     0 34740 36335 128082  7  3 90  0  0
17  0   3976 389302432      0 1160524    0    0     0     8 35438 121090  7  3 90  0  0
11  0   3976 389319968      0 1162072    0    0     0   468 35257 119949  8  3 89  0  0
 6  0   3976 389355392      0 1163004    0    0     0   332 35303 122987  7  3 91  0  0
 6  0   3976 389381952      0 1163936    0    0     0     4 35672 120049  8  3 89  0  0
 8  0   3976 389307776      0 1166276    0    0     0  6940 34577 120381  8  3 89  0  0
 9  0   3976 389290848      0 1167624    0    0    16   416 34097 119949  7  3 90  0  0
14  0   3976 389289312      0 1169072    0    0     0   248 34464 118108  7  3 90  0  0
15  0   3976 389282848      0 1175924    0    0     0    20 36936 128505  8  3 89  0  0
 6  0   3976 389295360      0 1176860    0    0     0     0 36370 127785  7  3 90  0  0
12  0   3976 389311072      0 1178460    0    0     0   264 36035 121597  7  3 90  0  0
11  0   3976 389259200      0 1180648    0    0    16     0 36278 121300  9  3 89  0  0
 5  0   3976 389277376      0 1182280    0    0     0     0 35370 123792  7  3 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   3976 389313152      0 1183144    0    0     0     8 35862 127206  7  3 90  0  0
 7  0   3976 389316416      0 1184148    0    0     0     0 35165 123116  7  3 90  0  0
 9  0   3976 389345856      0 1185688    0    0    92     0 37922 126841  7  3 90  0  0
 6  0   3976 389326720      0 1186548    0    0     0    80 34715 121927  7  3 90  0  0
 3  0   3976 389313152      0 1187480    0    0     0     8 33987 118895  7  3 90  0  0
 5  0   3976 389326624      0 1193104    0    0     0     4 38217 129271  8  3 89  0  0
 6  0   3976 389317120      0 1194784    0    0     0     0 36135 120809  8  3 90  0  0
 7  0   3976 389295328      0 1196392    0    0   120     8 36430 123920  7  3 90  0  0
 6  0   3976 389293664      0 1198564    0    0    16 41988 35577 122011  8  3 89  0  0
 9  0   3976 389290656      0 1200724    0    0     4   284 37330 126562  8  3 89  0  0
 6  0   3976 389281344      0 1202200    0    0     0     8 35484 123650  7  3 90  0  0
13  0   3976 389280192      0 1202916    0    0     0     0 34488 121552  7  3 90  0  0
14  0   3976 389314976      0 1203840    0    0     0     8 36413 126199  8  3 90  0  0
11  0   3976 389295872      0 1205416    0    0     0     0 34999 120542  8  3 90  0  0
 4  0   3976 389260800      0 1207104    0    0     0     8 34168 121243  7  3 90  0  0
10  0   3976 389277248      0 1213772    0    0   100     8 37002 123250  8  3 89  0  0
10  0   3976 389250336      0 1214704    0    0     0    16 33768 124915  7  3 91  0  0
 6  0   3976 389219584      0 1216040    0    0     0    68 36361 126568  7  3 90  0  0
 7  0   3976 389220416      0 1216828    0    0     0     0 36637 130143  7  3 90  0  0
 5  0   3976 389331776      0 1217684    0    0     0    60 36301 125841  7  3 90  0  0
11  0   3976 389370944      0 1218692    0    0     0   488 35997 121786  7  3 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0   3976 389288256      0 1220776    0    0    16     4 34823 118279  8  3 89  0  0
 0  0   3976 389287776      0 1221760    0    0    52     8 17397 58723  4  1 95  0  0
 0  0   3976 389285632      0 1222700    0    0     0 31328 1614 2503  0  0 100  0  0
 0  0   3976 389278112      0 1223396    0    0   128   200 1225 2047  0  0 100  0  0
 1  0   3976 389118048      0 1229396    0    0     0   252 2552 2008  2  0 98  0  0
 0  0   3976 389025376      0 1230776    0    0     0    12 1378 1901  1  0 99  0  0
 0  0   3976 389024928      0 1230848    0    0     0   264 1855 2852  0  0 100  0  0
 0  0   3976 389024928      0 1230880    0    0     0     0 1045 1850  0  0 100  0  0
 0  0   3976 389062528      0 1231488    0    0     0     0 1907 2151  0  0 99  0  0
 0  0   3976 389185408      0 1231524    0    0     0     0 1256 2138  0  0 100  0  0
 0  0   3976 389186432      0 1231548    0    0     0     4 1106 1983  0  0 100  0  0
 0  0   3976 389182592      0 1231584    0    0     0     0 1133 2051  0  0 100  0  0
 0  0   3976 389183616      0 1231616    0    0     0     4 1121 1895  0  0 100  0  0
 0  0   3976 389184128      0 1231648    0    0     0     0 1020 1757  0  0 100  0  0
 0  0   3976 389185152      0 1232768    0    0     0   204 1256 2054  0  0 100  0  0
 0  0   3976 389269184      0 1233068    0    0     0    92 1654 2118  0  0 100  0  0
 0  0   3976 389269984      0 1233168    0    0     0     0 1476 2520  0  0 100  0  0
 0  0   3976 389270752      0 1233200    0    0     0     0  978 1723  0  0 100  0  0
 0  0   3976 389270752      0 1233232    0    0     0 16704 1195 2155  0  0 100  0  0
 0  0   3976 389270752      0 1233264    0    0     0     0 1168 1950  0  0 100  0  0
 0  0   3976 389271008      0 1233296    0    0     0    52 1031 1868  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   3976 389271296      0 1233328    0    0     0     0 1204 2076  0  0 100  0  0
 0  0   3976 389272288      0 1233364    0    0     0     0 1142 2052  0  0 100  0  0
 0  0   3976 389273312      0 1233384    0    0     0     0 1018 1781  0  0 100  0  0
 1  0   3976 389283616      0 1233420    0    0     0     4 3717 2109  2  0 98  0  0
 1  0   3976 389259648      0 1233448    0    0     0    12 2331 1982  2  0 98  0  0
 0  0   3976 389208320      0 1224260    0    0     0     0 2231 2314  1  0 99  0  0
 0  0   3976 389208576      0 1224292    0    0     0   816 1040 1847  0  0 100  0  0
 1  0   3976 389208352      0 1224320    0    0     0    20 1012 1879  0  0 100  0  0
 0  0   3976 389208576      0 1224352    0    0     0   360 1129 1940  0  0 100  0  0
 0  0   3976 389208832      0 1224380    0    0     0     4 1075 1939  0  0 100  0  0
10  0   3976 389211488      0 1224416    0    0     0     0 18570 65147  4  1 95  0  0
15  0   3976 389354240      0 1224456    0    0     0     0 35076 122639  7  3 91  0  0
 8  0   3976 389456864      0 1224872    0    0     0     0 37151 126801  7  3 90  0  0
 6  0   3976 389459936      0 1225740    0    0     0 13660 35141 124658  7  3 90  0  0
 9  0   3976 389454080      0 1227212    0    0    88   200 35416 125300  7  3 90  0  0
10  0   3976 389383968      0 1228216    0    0     0    24 35763 124993  7  3 90  0  0
 8  0   3976 389343584      0 1229148    0    0     0     8 35114 124143  7  3 90  0  0
10  0   3976 389362432      0 1230080    0    0     0   252 35704 124421  7  3 90  0  0
12  0   3976 389354784      0 1231528    0    0     0  4040 35527 122730  7  3 90  0  0
 8  0   3976 389334912      0 1232460    0    0     0     0 35258 124389  7  3 90  0  0
 8  0   3976 389339616      0 1233508    0    0   108     8 35624 123538  7  3 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0   3976 389289120      0 1235564    0    0     0     4 37624 124456  8  3 89  0  0
10  0   3976 389286592      0 1236496    0    0     0     8 35270 123529  7  3 90  0  0
 5  0   3976 389225056      0 1244616    0    0     4     0 35861 123128  9  3 88  0  0
 8  0   3976 389224224      0 1246252    0    0     0   208 36897 126935  7  3 90  0  0
 8  0   3976 389219744      0 1247388    0    0   136     8 36939 129372  7  3 90  0  0
 9  0   3976 389302816      0 1248328    0    0     0     0 35567 123295  7  3 90  0  0
 6  0   3976 389325952      0 1249260    0    0     0     8 36899 129446  7  3 90  0  0
 6  1   3976 389264000      0 1252012    0    0    16  8448 35463 121007  8  3 89  0  0
15  0   3976 389260608      0 1252952    0    0     0 17980 35103 121303  7  3 90  0  0
 6  0   3976 389312448      0 1253804    0    0     0     8 37104 121395  7  3 90  0  0
14  0   3976 389275168      0 1255852    0    0     0   248 35558 119111  8  3 89  0  0
24  0   3976 389231936      0 1257244    0    0     0     0 34790 118428  7  3 90  0  0
19  0   3976 389188160      0 1262216    0    0     0     8 36598 127543  8  3 90  0  0
11  0   3976 389188960      0 1263176    0    0     0     8 34658 119786  7  3 90  0  0
 5  0   3976 389274048      0 1264824    0    0   104     0 37004 123077  7  3 90  0  0
10  0   3976 389284672      0 1265688    0    0     0     0 35468 121792  7  3 90  0  0
16  0   3976 389287712      0 1266760    0    0    68   100 35371 126177  7  3 90  0  0
 6  0   3976 389294464      0 1267692    0    0     0   368 34256 120139  7  3 90  0  0
 5  0   3976 389292192      0 1269132    0    0     0     4 35188 125246  7  3 90  0  0
 4  0   3976 389153248      0 1271872    0    0   180    20 19163 59082  6  2 92  0  0
 0  0   3976 389361088      0 1275296    0    0   748     0 2112 2757  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   3976 389360704      0 1275856    0    0     0     8 1304 1586  0  0 100  0  0
