procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   3976 390550400      0 1040068    0    0     2     2    0    0  0  0 100  0  0
 2  0   3976 390507328      0 1039052    0    0    44     0 8693 6189  1  1 99  0  0
 1  0   3976 390483552      0 1039264    0    0    68     0 10201 5589  0  1 99  0  0
 4  0   3976 390377344      0 1072224    0    0 19712 47152 10255 9646  2  1 97  0  0
 3  0   3976 390344800      0 1090608    0    0 20748    32 7679 8995  3  0 96  0  0
 2  0   3976 390268736      0 1101160    0    0 10104    32 4744 5360  3  0 97  0  0
 0  0   3976 390211872      0 1104108    0    0  2712    36 2641 3164  2  0 98  0  0
 8  0   3976 390060864      0 1112520    0    0  8132   268 6104 7100  4  0 96  0  0
 5  0   3976 390006784      0 1112692    0    0    72  9900 7580 9906  7  0 93  0  0
 9  0   3976 389975648      0 1116168    0    0  3440    36 8680 14617  7  1 93  0  0
10  0   3976 389972640      0 1116812    0    0   516    40 15081 37873  8  1 91  0  0
 9  0   3976 389930816      0 1117156    0    0   156    84 15820 43987  8  1 91  0  0
 8  0   3976 389908416      0 1117612    0    0   252    12 15894 47827  7  1 92  0  0
 7  0   3976 389899264      0 1117900    0    0    16    16 15755 55852  6  1 92  0  0
 6  0   3976 389774528      0 1119984    0    0  1392     0 15527 54486  7  1 92  0  0
 7  0   3976 389739712      0 1120264    0    0     0    48 15703 52955  6  1 92  0  0
 9  0   3976 389715456      0 1120996    0    0   104    52 17687 61300  7  1 92  0  0
 7  0   3976 389645024      0 1122144    0    0   140    40 20021 66631  7  1 92  0  0
 7  0   3976 389652032      0 1122620    0    0   124    60 21289 73696  6  1 92  0  0
11  0   3976 389661856      0 1124096    0    0     4     0 22611 80242  7  2 92  0  0
 8  0   3976 389655040      0 1124912    0    0    20    12 22747 80727  7  2 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   3976 389599136      0 1125784    0    0    76    52 22991 84295  7  2 91  0  0
 6  0   3976 389587872      0 1126712    0    0   432    56 30974 110033  7  2 91  0  0
 7  0   3976 389591872      0 1127204    0    0     0    40 33428 116449  7  2 91  0  0
 7  0   3976 389570528      0 1128396    0    0   120  7360 33073 119125  7  2 90  0  0
 7  0   3976 389569472      0 1132092    0    0   324    24 31839 108048  7  3 90  0  0
 2  0   3976 389578592      0 1132956    0    0    16     0 32022 108862  7  3 91  0  0
 6  0   3976 389628416      0 1133820    0    0     0    48 33078 117653  7  3 90  0  0
 7  0   3976 389529248      0 1135160    0    0    72    88 31716 110876  7  3 90  0  0
 8  0   3976 389512128      0 1136396    0    0    24   108 32210 112782  8  2 90  0  0
 8  0   3976 389507008      0 1141292    0    0     0     8 33176 118066  7  3 90  0  0
 5  0   3976 389514336      0 1142340    0    0   192    24 31977 110607  7  3 90  0  0
 7  0   3976 389532480      0 1143420    0    0   260     0 33215 114093  7  3 90  0  0
 7  0   3976 389468992      0 1144776    0    0   124    52 32304 114263  7  3 90  0  0
10  0   3976 389397024      0 1146220    0    0     0 15632 33136 116402  7  3 90  0  0
 5  0   3976 389368768      0 1147148    0    0     0    40 33057 114445  7  3 90  0  0
 5  0   3976 389323712      0 1149260    0    0   132  1048 32623 113513  8  3 90  0  0
 5  0   3976 389321568      0 1150744    0    0   152   848 33069 115172  7  3 90  0  0
11  0   3976 389308032      0 1152072    0    0    16    16 33192 115399  8  3 90  0  0
 8  0   3976 389262336      0 1153640    0    0    52   340 33555 117822  8  3 90  0  0
21  0   3976 389258560      0 1161408    0    0    72     4 34500 119967  8  3 89  0  0
 5  0   3976 389254880      0 1162928    0    0    16    52 33091 113652  7  3 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0   3976 389375104      0 1163872    0    0   128     4 34665 120109  7  3 90  0  0
12  0   3976 389456864      0 1164744    0    0     0    16 31974 111996  7  3 90  0  0
 5  0   3976 389361120      0 1166720    0    0   460     8 33965 115729  7  3 90  0  0
11  0   3976 389347840      0 1167648    0    0     0     0 33408 118332  7  3 90  0  0
11  0   3976 389350624      0 1168708    0    0   128     8 31759 111070  7  3 90  0  0
 5  0   3976 389350176      0 1169572    0    0    16    40 32381 116083  7  3 90  0  0
 5  0   3976 389350560      0 1170436    0    0     0     8 33121 116915  7  3 91  0  0
 8  0   3976 389351424      0 1171216    0    0     0    24 31508 111701  7  3 90  0  0
15  0   3976 389297024      0 1176768    0    0     0 37324 33567 117778  8  3 90  0  0
11  0   3976 389310688      0 1178172    0    0     0     0 33110 115671  7  3 90  0  0
10  0   3976 389391264      0 1179124    0    0   104     0 33052 114572  7  3 90  0  0
11  0   3976 389253344      0 1180460    0    0   152    48 34153 118952  8  3 89  0  0
 7  0   3976 389169888      0 1182204    0    0    56     4 35558 126201  7  3 91  0  0
13  0   3976 389000224      0 1184696    0    0   236    20 34698 116296  8  3 90  0  0
 6  0   3976 388997888      0 1185960    0    0     4    56 34155 118758  7  3 90  0  0
 7  0   3976 388996288      0 1186816    0    0     0     8 32767 118003  7  3 91  0  0
 7  0   3976 389060992      0 1187764    0    0    92     0 32346 114028  7  3 90  0  0
10  0   3976 389117024      0 1189476    0    0    52    56 32687 109865  8  3 90  0  0
 9  0   3976 389165664      0 1196000    0    0     4     8 33144 112533  7  3 90  0  0
 8  0   3976 389205472      0 1197608    0    0    84     8 34175 115169  7  3 90  0  0
 8  0   3976 389275424      0 1198468    0    0    72    16 32606 114361  7  3 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0   3976 389139744      0 1200704    0    0    32     8 33295 117118  8  3 90  0  0
 7  0   3976 389111680      0 1203056    0    0   968     0 32286 114590  7  3 90  0  0
 6  0   3976 389096896      0 1204444    0    0     0   304 32940 115892  7  3 90  0  0
10  0   3976 389084032      0 1205964    0    0     0   352 32277 114354  7  3 90  0  0
17  0   3976 389057056      0 1207340    0    0    36   664 33987 118139  7  3 90  0  0
 8  0   3976 389087936      0 1208276    0    0     0     8 33573 116593  7  3 90  0  0
11  0   3976 389060000      0 1209196    0    0   384    12 33025 116655  8  3 90  0  0
 8  0   3976 389040000      0 1215152    0    0    16     4 34057 118453  8  3 89  0  0
17  0   3976 389003072      0 1216012    0    0     0 42688 34341 123308  7  3 90  0  0
 5  0   3976 388996608      0 1217528    0    0    28     4 34788 114894  8  3 90  0  0
15  0   3976 389111200      0 1218396    0    0     0    16 33799 118677  7  3 90  0  0
 9  0   3976 389104128      0 1219732    0    0     0     8 33054 116888  7  3 90  0  0
 7  0   3976 389031712      0 1221212    0    0     0     0 33335 116414  7  3 90  0  0
12  0   3976 388985248      0 1223200    0    0     0     0 32627 110959  8  3 89  0  0
 7  0   3976 388984928      0 1224772    0    0     0   280 32528 113956  7  3 90  0  0
 3  0   3976 388981024      0 1225624    0    0     0    12 32318 113412  7  3 90  0  0
11  0   3976 388992256      0 1226980    0    0     0     0 34498 122825  8  3 90  0  0
 8  0   3976 389037824      0 1233716    0    0   128    28 34294 110628  9  3 88  0  0
 9  0   3976 388993920      0 1234576    0    0     0     0 34380 117925  9  3 89  0  0
 8  0   3976 388823200      0 1236092    0    0   192     0 35379 121466  9  3 88  0  0
 8  0   3976 388686592      0 1226492    0    0     0     8 34710 117987  9  3 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0   3976 388684992      0 1228024    0    0     0     4 34663 118243  7  3 90  0  0
 5  0   3976 388773824      0 1229720    0    0   224    20 33921 115784  7  3 90  0  0
 5  0   3976 388960384      0 1230644    0    0    64     0 33895 116447  7  3 90  0  0
 8  0   3976 388970912      0 1232184    0    0    16 39520 34755 119487  7  3 90  0  0
 9  0   3976 388950368      0 1233696    0    0    16     8 33839 116620  7  3 90  0  0
13  0   3976 388956384      0 1235024    0    0     0     0 35132 119094  8  3 90  0  0
 5  0   3976 389042496      0 1240676    0    0   128    20 36921 121851  8  3 90  0  0
 5  0   3976 389128768      0 1241564    0    0     0    24 36302 125716  7  3 90  0  0
10  0   3976 389133664      0 1242420    0    0     0  2980 33653 116564  7  3 90  0  0
 9  0   3976 389086176      0 1243948    0    0     0     8 31988 112077  8  3 90  0  0
11  0   3976 389085632      0 1244804    0    0    16     0 34264 120869  7  3 91  0  0
 5  0   3976 389097440      0 1245736    0    0     0     8 32767 114307  7  3 90  0  0
 4  0   3976 389085696      0 1247252    0    0     0   536 34025 115392  7  3 90  0  0
 9  0   3976 389066560      0 1248844    0    0     0   664 34570 119704  8  3 89  0  0
 7  0   3976 388999488      0 1250368    0    0     0   248 32794 114310  7  3 90  0  0
 8  0   3976 388988480      0 1251232    0    0     0     8 35568 120346  8  3 90  0  0
 6  0   3976 388973824      0 1258300    0    0    92    20 33112 115453  7  3 90  0  0
10  0   3976 389013888      0 1259156    0    0     0     8 32485 113771  7  3 90  0  0
 8  0   3976 389074080      0 1260092    0    0     0     4 32243 111294  7  3 90  0  0
10  0   3976 389143520      0 1261872    0    0   220     0 35243 118344  7  3 90  0  0
 7  0   3976 389121152      0 1263380    0    0    16     8 34595 122135  8  3 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0   3976 389072128      0 1264516    0    0   128     0 33611 120158  7  3 90  0  0
 7  0   3976 389003104      0 1265368    0    0     0     8 33655 119439  7  3 90  0  0
10  0   3976 389001472      0 1266728    0    0    16 39704 33143 114461  7  3 90  0  0
 7  0   3976 388998688      0 1267652    0    0     0    12 35614 125242  7  3 91  0  0
11  0   3976 388980512      0 1268520    0    0     0     0 33281 117374  8  3 89  0  0
 5  0   3976 388905728      0 1274852    0    0     0     4 32850 112099  8  3 90  0  0
10  0   3976 388925952      0 1275704    0    0     0     8 35610 122206  7  3 90  0  0
 7  0   3976 389018112      0 1276564    0    0     0     0 34923 122729  7  3 90  0  0
10  0   3976 389101376      0 1277424    0    0     0     8 33113 115551  7  3 90  0  0
11  0   3976 388992352      0 1277588    0    0   200     4 33007 116302  8  3 90  0  0
12  0   3976 388723232      0 1281420    0    0    80     0 34412 117603  8  3 89  0  0
11  0   3976 388727936      0 1283636    0    0   712   760 34434 113324  8  3 89  0  0
11  0   3976 388727584      0 1286292    0    0     0     0 34043 117077  8  3 89  0  0
 5  0   3976 388729120      0 1287224    0    0   244     0 34412 121709  7  3 91  0  0
 9  0   3976 388722144      0 1288104    0    0    20     8 33218 119406  7  2 91  0  0
10  0   3976 388760384      0 1294248    0    0     0    20 34093 118825  7  3 90  0  0
 9  0   3976 388817088      0 1291808    0    0     0     8 35390 121078  7  3 90  0  0
 9  0   3976 388880864      0 1293704    0    0    16     0 37534 121372  8  3 90  0  0
 6  0   3976 388883008      0 1295404    0    0     0 35832 32110 111619  7  3 90  0  0
20  0   3976 388894752      0 1296328    0    0    64    12 33236 116643  7  3 90  0  0
 7  0   3976 388918944      0 1297252    0    0     0     0 33246 118860  7  3 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0   3976 389027200      0 1298216    0    0   108    12 33894 116853  7  3 90  0  0
 0  0   3976 389034272      0 1299316    0    0   160     4 21106 69064  5  2 94  0  0
 0  0   3976 389036320      0 1300176    0    0     0   976 1325 2115  0  0 100  0  0
 1  0   3976 389011392      0 1300680    0    0    20   456 1689 2002  1  0 99  0  0
 0  0   3976 389012160      0 1305040    0    0     0     4 1216 1972  0  0 100  0  0
 0  0   3976 388961376      0 1305752    0    0     0    12 2069 1930  1  0 99  0  0
 0  0   3976 388964640      0 1306992    0    0    16     8 4088 2853  1  0 99  0  0
 0  0   3976 388964416      0 1307096    0    0     0     0 1137 1955  0  0 100  0  0
 0  0   3976 388964640      0 1307124    0    0     0     0 1053 1923  0  0 100  0  0
 0  0   3976 388965440      0 1307228    0    0     0     0 1326 2035  0  0 100  0  0
 0  0   3976 388966464      0 1307252    0    0     0     0 1149 2047  0  0 100  0  0
 0  0   3976 388966976      0 1307288    0    0     0     0 1270 2210  0  0 100  0  0
 0  0   3976 388979840      0 1307792    0    0     0     4 1848 1967  0  0 100  0  0
 0  0   3976 388981120      0 1309276    0    0     0     4 1257 1908  0  0 100  0  0
 0  0   3976 388981632      0 1309304    0    0     0     0 1066 1962  0  0 100  0  0
 0  0   3976 389028352      0 1309644    0    0     0     0 1462 1971  0  0 100  0  0
 0  0   3976 389028864      0 1309852    0    0   180     0 1358 2477  0  0 100  0  0
 0  0   3976 389029632      0 1309876    0    0     0     0  991 1722  0  0 100  0  0
 0  0   3976 389030400      0 1309920    0    0     0 16992 1208 2323  0  0 100  0  0
 0  0   3976 389028608      0 1310596    0    0    96     0 1985 2284  0  0 99  0  0
 0  0   3976 389029632      0 1310632    0    0     0     0 1040 1854  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   3976 389030656      0 1310660    0    0     0     0 1205 2078  0  0 100  0  0
 0  0   3976 389031424      0 1310696    0    0     0     0 1131 2004  0  0 100  0  0
 1  0   3976 388998176      0 1310724    0    0     0     0 1959 1969  0  0 99  0  0
 2  0   3976 389019616      0 1310760    0    0     0     4 3615 2161  2  0 98  0  0
 2  0   3976 388980960      0 1310788    0    0     0    12 2387 1966  2  0 98  0  0
 0  0   3976 388855744      0 1301732    0    0     0     0 1560 2197  0  0 99  0  0
 0  0   3976 388856000      0 1301764    0    0     0     0 1086 1991  0  0 100  0  0
 0  0   3976 388856768      0 1301796    0    0     0    60 1047 1849  0  0 100  0  0
 0  0   3976 388856640      0 1301896    0    0     0     0 1403 1838  0  0 100  0  0
 0  0   3976 388857408      0 1301924    0    0     0   720 1116 1934  0  0 100  0  0
 8  0   3976 388860448      0 1302028    0    0    68    36 16409 55499  3  1 96  0  0
 8  0   3976 388852352      0 1302064    0    0     0   580 32024 109684  7  3 91  0  0
 6  0   3976 388988032      0 1302916    0    0     0   260 35219 122322  7  3 90  0  0
 7  0   3976 389119008      0 1303780    0    0     4 13728 35110 121855  7  3 90  0  0
14  0   3976 389121824      0 1304640    0    0     0    12 32048 112642  7  3 91  0  0
 5  0   3976 389118240      0 1305500    0    0     0    12 31955 112576  7  3 90  0  0
21  0   3976 389111872      0 1306432    0    0     0     0 33466 119711  7  3 90  0  0
 9  0   3976 389105888      0 1307296    0    0     0     0 32682 118237  7  3 90  0  0
 2  0   3976 389092000      0 1308292    0    0     0  3664 31694 112423  7  3 90  0  0
 6  0   3976 389036832      0 1309620    0    0     0     8 33160 116554  7  3 90  0  0
 5  0   3976 389005216      0 1310560    0    0     0     0 33370 116886  7  3 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0   3976 388992832      0 1312092    0    0     0     4 33128 116168  7  3 90  0  0
 7  0   3976 388895008      0 1313476    0    0    16     8 32387 113271  8  3 90  0  0
13  0   3976 388887808      0 1320536    0    0     0     0 31948 109575  8  3 89  0  0
10  0   3976 388833856      0 1322084    0    0    16     8 32534 112793  7  3 90  0  0
 5  0   3976 388830720      0 1323516    0    0    64     0 35879 125042  7  3 90  0  0
 6  0   3976 388848512      0 1324376    0    0     0     8 34566 119872  7  3 90  0  0
 7  0   3976 388978784      0 1326060    0    0   144     8 34957 116155  7  3 90  0  0
 5  0   3976 388977152      0 1327476    0    0     0 23612 34251 119513  7  3 90  0  0
 8  0   3976 388972224      0 1328436    0    0    96    64 33501 117816  7  3 90  0  0
 8  0   3976 388966464      0 1330020    0    0     0     0 33209 114743  7  3 90  0  0
 7  0   3976 388908224      0 1331352    0    0     0     8 33573 116471  7  3 90  0  0
19  0   3976 388923456      0 1332276    0    0    64     0 34712 115194  8  3 90  0  0
10  0   3976 388934944      0 1337804    0    0     0     8 34967 117269  8  3 90  0  0
14  0   3976 388942912      0 1338728    0    0     0     8 33319 117721  7  3 90  0  0
10  0   3976 388984832      0 1339588    0    0     0     0 32890 114195  7  3 90  0  0
10  0   3976 389053568      0 1340304    0    0     0     8 33485 116984  7  3 90  0  0
13  0   3976 388802528      0 1343108    0    0     0     0 34379 118749  8  3 89  0  0
 8  0   3976 388716160      0 1344116    0    0     0    64 33238 115507  7  3 90  0  0
 3  0   3976 388705248      0 1344832    0    0     0     4 32688 113185  7  3 90  0  0
 0  0   3976 388698816      0 1346032    0    0    48    32 20114 66955  5  2 94  0  0
 0  0   3976 388980960      0 1349652    0    0  1064   244 2826 3636  1  0 99  0  0
