procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0   3976 390839808      0 913844    0    0     2     2    0    0  0  0 100  0  0
 4  0   3976 390716544      0 984088    0    0  6944     0 15025 10502  6  1 93  0  0
 2  1   3976 390666048      0 990408    0    0  6324     0 12891 7777  5  1 94  0  0
 2  0   3976 390615936      0 1000804    0    0 10772 86560 6943 6777  3  0 96  1  0
 2  0   3976 390539200      0 1009056    0    0  7396    32 5191 6525  3  0 97  0  0
 3  0   3976 390501728      0 1011836    0    0  2768    32 4178 3627  4  0 96  0  0
 5  0   3976 390434816      0 1016888    0    0  5004     4 7192 6783  5  0 94  0  0
 1  0   3976 390388288      0 1036784    0    0 22024    36 13822 11080  5  1 94  0  0
 1  0   3976 390276160      0 1048476    0    0 11572     0 4472 5570  3  0 97  0  0
 0  0   3976 390248064      0 1051696    0    0  2852    28 3166 3465  2  0 98  0  0
34  0   3976 390194688      0 1055620    0    0  1096   208 3358 7712  2  0 97  0  0
34  0   3976 390156864      0 1057572    0    0  1496    44 7074 12925  7  0 93  0  0
91  0   3976 390144736      0 1057616    0    0     0   580 7169 29259  7  0 93  0  0
97  0   3976 390132384      0 1061304    0    0  3648    52 7562 17171  7  0 93  0  0
104  0   3976 390098816      0 1061780    0    0   364     0 7819 14913  7  0 92  0  0
81  0   3976 390092672      0 1062064    0    0   236     0 8257 13432  7  0 92  0  0
90  0   3976 390089248      0 1062340    0    0   112   152 7658 27819  7  0 93  0  0
59  0   3976 390074464      0 1062832    0    0   436    40 7897 14079  6  1 93  0  0
48  0   3976 390060512      0 1062996    0    0     0   120 7974 32819  6  1 93  0  0
70  0   3976 390061216      0 1063040    0    0     0     0 8209 14836  7  1 93  0  0
41  0   3976 389984256      0 1064260    0    0   708     0 8784 15869  7  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
70  0   3976 389971680      0 1064420    0    0     0     0 8504 16436  6  1 93  0  0
27  0   3976 389911456      0 1065368    0    0   532     8 9146 17835  7  1 93  0  0
66  0   3976 389906880      0 1065936    0    0     0    40 9126 18414  6  1 93  0  0
62  0   3976 389915168      0 1066384    0    0     0     4 9304 17288  6  1 93  0  0
73  0   3976 389847104      0 1067196    0    0   380  2296 9277 18365  6  1 93  0  0
59  0   3976 389847008      0 1067444    0    0    88     8 9064 18264  6  1 93  0  0
68  0   3976 389846560      0 1067612    0    0     0    24 9259 18821  6  1 93  0  0
78  0   3976 389814528      0 1068416    0    0   324     8 9283 24502  6  1 93  0  0
67  0   3976 389808448      0 1068988    0    0   168   100 9406 27620  6  1 93  0  0
82  0   3976 389809056      0 1069224    0    0     0  1760 9875 21091  6  1 93  0  0
68  0   3976 389809184      0 1069272    0    0     4   744 9359 21556  6  1 93  0  0
70  0   3976 389778944      0 1070012    0    0   268     0 9940 22357  6  1 93  0  0
66  0   3976 389777056      0 1070956    0    0     0     4 9957 23264  6  1 93  0  0
79  0   3976 389754784      0 1072028    0    0    64     8 11255 35674  6  1 93  0  0
59  0   3976 389760160      0 1072192    0    0     0    40 9763 23005  6  1 93  0  0
70  0   3976 389758144      0 1072416    0    0    64  2884 9400 22530  6  1 93  0  0
66  0   3976 389766272      0 1073344    0    0   452     0 10640 68768  6  1 93  0  0
35  0   3976 389769120      0 1073504    0    0     0     8 9274 37371  6  1 93  0  0
64  0   3976 389788576      0 1074060    0    0    28   652 11586 44915  6  1 93  0  0
65  0   3976 389839392      0 1074300    0    0     0   708 10570 26502  6  1 93  0  0
67  0   3976 389843456      0 1074464    0    0     4  1652 9863 39279  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
68  0   3976 389804608      0 1075020    0    0    16    20 10378 52032  6  1 93  0  0
67  0   3976 389791552      0 1076300    0    0   164     4 9884 68300  6  1 93  0  0
66  0   3976 389762624      0 1076676    0    0    52   132 10420 31511  6  1 93  0  0
61  0   3976 389776512      0 1076928    0    0     0     0 9833 45727  6  1 93  0  0
65  0   3976 389764800      0 1077572    0    0   200     0 10258 41445  6  1 93  0  0
66  0   3976 389720736      0 1078596    0    0   232  4020 10088 60790  6  1 92  0  0
57  0   3976 389707648      0 1078764    0    0     0   796 9614 28580  6  1 93  0  0
61  0   3976 389603776      0 1079316    0    0    16    28 10742 30098  6  1 93  0  0
62  0   3976 389602592      0 1079636    0    0     0     0 10202 30054  6  1 93  0  0
56  0   3976 389602592      0 1080520    0    0    96     8 10332 30256  6  1 93  0  0
28  0   3976 389599552      0 1080888    0    0   116     0 10099 40889  6  1 93  0  0
70  0   3976 389617792      0 1082332    0    0     4  3664 11142 43458  7  1 92  0  0
65  0   3976 389633472      0 1082992    0    0    64    20 10617 34161  6  1 92  0  0
68  0   3976 389692992      0 1083764    0    0   300     8 11057 39326  6  1 93  0  0
67  0   3976 389674880      0 1084324    0    0     0     0 10370 35925  6  1 93  0  0
63  0   3976 389718720      0 1084572    0    0     0     0 10898 37800  6  1 93  0  0
52  0   3976 389718688      0 1084764    0    0     0     0 10300 38292  6  1 93  0  0
67  0   3976 389693440      0 1085396    0    0     0  2676 10773 40169  6  1 92  0  0
59  0   3976 389694272      0 1085788    0    0    76    20 11335 42212  6  1 92  0  0
63  0   3976 389696192      0 1086112    0    0     0     8 10855 41801  6  1 93  0  0
67  0   3976 389684576      0 1086692    0    0    32   256 11190 42147  6  1 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
65  0   3976 389658304      0 1088724    0    0     0    12 11646 42934  7  1 92  0  0
67  0   3976 389657824      0 1088980    0    0     0  4368 11050 43491  6  1 93  0  0
63  0   3976 389599104      0 1090252    0    0    36     4 11980 45499  7  1 92  0  0
60  0   3976 389606912      0 1090944    0    0     0     4 11843 45445  6  1 92  0  0
63  0   3976 389611840      0 1091280    0    0    88   220 12198 46816  6  1 93  0  0
