procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0   3976 390675328      0 1021432    0    0     2     2    0    0  0  0 100  0  0
 4  0   3976 390573024      0 1083576    0    0 11268     0 14193 12126  6  1 93  0  0
 4  0   3976 390480288      0 1100584    0    0 16496     0 14726 11201  5  1 94  0  0
 2  0   3976 390414336      0 1105940    0    0  5340 90480 8146 7875  5  0 94  0  0
 6  0   3976 390285632      0 1131752    0    0 26080    40 14761 12082  7  1 92  0  0
 2  0   3976 390274016      0 1147744    0    0 17844    32 7402 8158  5  0 94  0  0
 2  0   3976 390176928      0 1158408    0    0 10128     4 4498 4924  3  0 97  0  0
 0  0   3976 390132032      0 1165456    0    0  7040    44 2570 3155  1  0 99  0  0
33  0   3976 390052448      0 1167816    0    0  2208     0 5806 17805  5  0 95  0  0
45  0   3976 390040704      0 1168288    0    0    24   540 7265 33934  7  0 93  0  0
46  0   3976 390028704      0 1168332    0    0     0   124 7462 32021  7  0 93  0  0
94  0   3976 390027712      0 1168412    0    0    28    44 7554 16418  7  0 92  0  0
45  0   3976 390002976      0 1172620    0    0  4092    20 8540 17592  7  1 92  0  0
95  0   3976 389973664      0 1173088    0    0   304    52 8534 25521  7  1 92  0  0
80  0   3976 389964224      0 1173444    0    0   192     0 8038 14764  6  1 93  0  0
 7  0   3976 389956672      0 1174028    0    0   528     0 8394 16114  7  1 93  0  0
63  0   3976 389952320      0 1174312    0    0     0   204 8521 15631  7  1 93  0  0
41  0   3976 389863264      0 1175848    0    0  1192    68 9296 30395  7  1 93  0  0
67  0   3976 389788736      0 1176304    0    0    16   348 9187 17895  7  1 93  0  0
62  0   3976 389790816      0 1176464    0    0     0     0 8994 18414  6  1 93  0  0
68  0   3976 389792576      0 1176632    0    0     4     8 9084 19195  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
36  0   3976 389762624      0 1177080    0    0    16     0 9509 20178  6  1 93  0  0
66  0   3976 389751840      0 1178168    0    0   580    60 10478 21083  7  1 93  0  0
67  0   3976 389738208      0 1178496    0    0   104    40 9652 21067  6  1 93  0  0
67  0   3976 389738208      0 1178844    0    0     0    12 9691 22051  6  1 93  0  0
