procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0   3976 390584480      0 1032560    0    0     2     2    0    0  0  0 100  0  0
 1  0   3976 390526240      0 1071500    0    0  1464     0 9438 6754  1  1 98  0  0
 3  0   3976 390484704      0 1099284    0    0   332     0 10785 6409  1  1 98  0  0
 3  0   3976 390410688      0 1140080    0    0 41344 90456 9455 8438  1  1 97  1  0
 1  0   3976 390382688      0 1155544    0    0 17600    44 7362 8308  3  0 96  0  0
 1  0   3976 390273440      0 1168616    0    0 12956    32 4483 5668  3  0 97  0  0
 0  0   3976 390213024      0 1172908    0    0  3852     4 3859 3729  3  0 97  0  0
60  0   3976 390145504      0 1183844    0    0 11012    48 4491 41850  2  0 98  0  0
55  0   3976 390117440      0 1190568    0    0  6156   520 12870 354241  6  1 93  0  0
40  0   3976 390071040      0 1191336    0    0   552 27484 16380 407333  6  1 92  0  0
32  0   3976 390033696      0 1191972    0    0   364    88 17524 174386  7  1 92  0  0
71  0   3976 390005824      0 1193088    0    0   908    52 16678 571341  6  2 93  0  0
68  0   3976 390004224      0 1193620    0    0   448    20 20371 183970  6  1 93  0  0
28  0   3976 389997536      0 1193928    0    0   100    60 20218 297910  5  1 94  0  0
19  0   3976 389902464      0 1194656    0    0   224     0 15984 223286  5  1 93  0  0
60  0   3976 389831360      0 1195276    0    0   168    60 12737 100412  6  1 93  0  0
33  0   3976 389836896      0 1196108    0    0   260   140 14376 381157  5  1 93  0  0
74  0   3976 389822304      0 1196312    0    0     0    76 16697 126953  6  1 93  0  0
74  0   3976 389818528      0 1197708    0    0   108   340 22020 255867  6  1 93  0  0
58  0   3976 389835072      0 1197908    0    0     0     0 12143 391600  5  1 93  0  0
70  0   3976 389824704      0 1198188    0    0     0     8 18138 169326  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
29  0   3976 389803776      0 1198708    0    0    92    48 15234 305659  5  1 93  0  0
46  0   3976 389779808      0 1199892    0    0   600     8 14353 386798  5  1 93  0  0
18  0   3976 389776576      0 1200236    0    0    96    40 18626 394093  6  1 93  0  0
33  0   3976 389773024      0 1200480    0    0     0     4 15556 103324  6  1 94  0  0
17  0   3976 389787200      0 1200912    0    0   244    76 12889 197023  5  1 93  0  0
31  0   3976 389777920      0 1201756    0    0     0     0 19070 342125  6  1 93  0  0
45  0   3976 389630112      0 1202576    0    0    16    52 17189 454731  5  2 93  0  0
 1  0   3976 389632672      0 1204240    0    0    16     8 18455 237100  5  1 93  0  0
80  0   3976 389636960      0 1204444    0    0    20    84 17243 197758  5  1 93  0  0
80  0   3976 389626240      0 1204716    0    0     0   300 14691 338322  5  1 93  0  0
66  0   3976 389614592      0 1204928    0    0     0    52 14279 281928  5  1 93  0  0
 4  0   3976 389586080      0 1205784    0    0   428     8 16313 132816  6  1 93  0  0
65  0   3976 389542848      0 1207128    0    0    80    52 16981 298522  5  1 93  0  0
69  0   3976 389466560      0 1207640    0    0    20   196 22276 187227  5  1 93  0  0
66  0   3976 389471360      0 1207916    0    0    68    40 18742 725591  5  2 94  0  0
75  0   3976 389466624      0 1208180    0    0     0    24 19546 230908  5  1 93  0  0
80  0   3976 389465632      0 1208568    0    0   240     0 19275 262364  5  1 94  0  0
29  0   3976 389446624      0 1210168    0    0     0    12 19278 292070  5  1 94  0  0
46  0   3976 389459520      0 1213340    0    0    84   300 13730 325597  5  1 93  0  0
13  0   3976 389509376      0 1213792    0    0    16     0 19237 295236  5  1 93  0  0
59  0   3976 389441760      0 1215120    0    0   112     8 16616 249866  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   3976 389444832      0 1215324    0    0     0    20 20038 389927  5  1 94  0  0
73  0   3976 389507040      0 1216392    0    0   540     8 16530 337596  5  1 93  0  0
50  0   3976 389521408      0 1216908    0    0    16     0 16349 189667  6  1 93  0  0
20  0   3976 389530048      0 1217120    0    0     0   636 17607 563241  5  2 94  0  0
40  0   3976 389526624      0 1217324    0    0     0     0 14821 357547  5  1 93  0  0
 6  0   3976 389535872      0 1217528    0    0     0     8 12636 402337  5  1 93  0  0
24  0   3976 389547264      0 1219128    0    0     0  1020 13335 247455  6  1 93  0  0
39  0   3976 389588832      0 1219400    0    0     0   876 12513 182930  6  1 93  0  0
64  0   3976 389597984      0 1219604    0    0     0  2284 13025 334075  5  1 94  0  0
 3  0   3976 389606400      0 1219840    0    0     0     8 15520 415688  5  1 94  0  0
76  0   3976 389668736      0 1220460    0    0    96     0 18328 277470  6  1 93  0  0
26  0   3976 389654432      0 1220852    0    0   120    12 16200 398175  5  1 93  0  0
78  0   3976 389630016      0 1221112    0    0    52    20 12588 239571  5  1 93  0  0
 1  0   3976 389601344      0 1194804    0    0   532  1244 13961 153425  6  1 93  0  0
 2  0   3976 389603008      0 1195076    0    0    64     0 14640 184556  5  1 94  0  0
 1  0   3976 389567328      0 1195992    0    0    92     8 16784 199299  6  1 93  0  0
 1  0   3976 389565632      0 1198100    0    0   212     4 17754 326921  6  1 93  0  0
19  0   3976 389556512      0 1198376    0    0     0     8 11787 63882  6  1 94  0  0
83  0   3976 389543168      0 1198964    0    0     0  3684 14183 569773  5  2 93  0  0
58  0   3976 389544128      0 1199172    0    0    20     0 12146 76307  5  1 94  0  0
75  0   3976 389550624      0 1199312    0    0     0   264 22248 277081  5  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
56  0   3976 389565280      0 1200104    0    0   512     0 13631 169461  5  1 93  0  0
32  0   3976 389557536      0 1200316    0    0     0   252 15216 537303  5  1 94  0  0
21  0   3976 389559456      0 1201172    0    0    16  2980 16656 295553  6  1 93  0  0
90  0   3976 389570208      0 1201696    0    0    16     4 12050 164459  6  1 93  0  0
77  0   3976 389606528      0 1201904    0    0     0   220 13445 221001  6  1 93  0  0
19  0   3976 389574560      0 1204396    0    0   148     4 17785 441356  5  1 93  0  0
55  0   3976 389587392      0 1205196    0    0    32     0 14049 241215  6  1 93  0  0
36  0   3976 389603552      0 1205404    0    0     4  2796 14016 206037  5  1 94  0  0
69  0   3976 389596768      0 1206028    0    0    96     8 18764 487065  5  2 93  0  0
80  0   3976 389600320      0 1206228    0    0     0    20 14483 448505  5  1 93  0  0
58  0   3976 389602016      0 1207260    0    0     0     0 18736 452373  5  2 93  0  0
 1  0   3976 389589728      0 1207468    0    0     0     0 16262 304193  5  1 93  0  0
10  0   3976 389601376      0 1207672    0    0     0  3076 11606 421721  5  1 93  0  0
23  0   3976 389586400      0 1207876    0    0     0     0 17709 152659  5  1 94  0  0
20  0   3976 389646336      0 1208080    0    0     0    24 15623 286947  5  1 93  0  0
86  0   3976 389600448      0 1209800    0    0   128   168 17174 1048391  5  2 93  0  0
59  0   3976 389502048      0 1207124    0    0   128  1080 21804 809354  6  2 92  0  0
