procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0   3976 390769920      0 987512    0    0     2     2    0    0  0  0 100  0  0
 4  0   3976 390737440      0 992412    0    0  4648     0 12442 7490  5  1 94  0  0
 4  0   3976 390680256      0 998552    0    0  6232     0 12905 7451  5  1 94  0  0
 3  0   3976 390654080      0 1006348    0    0  7952 90488 7153 5491  5  0 94  1  0
 3  0   3976 390575936      0 1013216    0    0  7024    24 5396 4415  4  0 96  0  0
 1  0   3976 390516256      0 1021636    0    0  7452    32 4265 4150  3  0 97  0  0
 3  0   3976 390490592      0 1025900    0    0  4412    20 4463 3695  4  0 96  0  0
 4  0   3976 390453888      0 1034352    0    0  8236    12 5998 3641  5  0 95  0  0
 5  0   3976 390363488      0 1038048    0    0  3996     0 10531 8724  6  1 94  0  0
 3  0   3976 390345952      0 1052180    0    0 15808     0 8378 8869  4  0 95  0  0
 2  0   3976 390236928      0 1062008    0    0  9776    40 4887 4971  3  0 97  0  0
 0  0   3976 390193312      0 1063856    0    0  1660    96 2526 2641  2  0 98  0  0
 8  0   3976 390173440      0 1065916    0    0  1936     4 4619 6664  4  0 96  0  0
 1  0   3976 390139936      0 1067148    0    0   904   556 9504 15190  7  0 93  0  0
 7  0   3976 390121152      0 1067148    0    0     0    36 6918 9127  6  0 93  0  0
 8  0   3976 390100928      0 1071516    0    0  4336     0 8263 12665  7  0 93  0  0
 8  0   3976 390053760      0 1071864    0    0   256    52 9282 14359  7  1 92  0  0
 8  0   3976 390042816      0 1072084    0    0    80    40 9920 16364  8  1 92  0  0
 6  0   3976 390019584      0 1072332    0    0   160    60 10999 23189  7  1 92  0  0
 6  0   3976 389913696      0 1073280    0    0   532     0 11503 27954  7  1 92  0  0
 8  0   3976 389906656      0 1073568    0    0    64    68 11458 27258  7  1 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0   3976 389902944      0 1074136    0    0   284     0 11867 27705  7  1 93  0  0
 6  0   3976 389896512      0 1075112    0    0   584    60 11286 25743  7  1 93  0  0
 6  0   3976 389876000      0 1075176    0    0     0    40 11470 32016  6  1 93  0  0
 6  0   3976 389868640      0 1075340    0    0     0    64 12287 31514  6  1 93  0  0
 7  0   3976 389826944      0 1076972    0    0   400    56 12726 32072  7  1 92  0  0
 7  0   3976 389767424      0 1077480    0    0    16   440 12461 35645  6  1 93  0  0
 9  0   3976 389782528      0 1077768    0    0     0   372 13323 40000  7  1 92  0  0
 6  0   3976 389782848      0 1077996    0    0     8    68 12461 38745  6  1 93  0  0
 6  0   3976 389812960      0 1078280    0    0     0   136 13006 39692  6  1 92  0  0
 8  0   3976 389814560      0 1080748    0    0   208     4 14215 48455  7  1 92  0  0
 6  0   3976 389765888      0 1081812    0    0   128   716 13888 45510  7  1 92  0  0
 6  0   3976 389692320      0 1083016    0    0   344    48 13033 42693  7  1 92  0  0
 8  0   3976 389693888      0 1083368    0    0     0     8 12435 42485  6  1 93  0  0
 8  0   3976 389661088      0 1084152    0    0   152   144 15199 51990  7  1 92  0  0
 6  0   3976 389636704      0 1086624    0    0     0    48 16437 61151  7  1 92  0  0
 6  0   3976 389639936      0 1086908    0    0     0    12 17687 65214  7  1 92  0  0
 7  0   3976 389630912      0 1087836    0    0   160     0 20313 71783  7  1 91  0  0
 8  0   3976 389686432      0 1088576    0    0     0    68 20371 81497  7  2 92  0  0
 6  0   3976 389684448      0 1089120    0    0    28   192 22352 95584  7  2 91  0  0
15  0   3976 389672256      0 1090304    0    0   232     0 22474 99457  7  2 91  0  0
 7  0   3976 389626528      0 1091380    0    0    32     4 22391 110390  7  2 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   3976 389552352      0 1092492    0    0     0     4 22844 109716  8  2 90  0  0
 5  0   3976 389556288      0 1093544    0    0    16    16 21459 107626  7  2 91  0  0
 7  0   3976 389540448      0 1094224    0    0    12   300 22953 115246  7  2 91  0  0
 6  0   3976 389531072      0 1098572    0    0   128     4 22893 112785  7  2 90  0  0
 6  0   3976 389505472      0 1099756    0    0     0     0 22945 109955  7  2 91  0  0
 8  0   3976 389458432      0 1101540    0    0   176     0 22523 118997  7  2 90  0  0
 7  0   3976 389454208      0 1102840    0    0    64    16 22667 113695  7  2 91  0  0
 6  0   3976 389451712      0 1103544    0    0   128   476 21949 112141  7  2 91  0  0
 4  0   3976 389426496      0 1104956    0    0   204     8 21857 112729  7  2 91  0  0
 6  0   3976 389425984      0 1106084    0    0    16     0 22860 115456  7  2 91  0  0
 5  0   3976 389408256      0 1107320    0    0    20     0 22596 114498  7  2 90  0  0
 5  0   3976 389416576      0 1108056    0    0     0     8 22214 116510  7  2 91  0  0
 4  0   3976 389416480      0 1108740    0    0     0   552 22067 111629  7  2 91  0  0
 7  0   3976 389415904      0 1110604    0    0   512    20 23944 109492  9  2 89  0  0
 4  0   3976 389394560      0 1117872    0    0    32    28 21917 114354  8  2 90  0  0
 7  0   3976 389370464      0 1118868    0    0   256   744 22453 116501  7  2 91  0  0
 5  0   3976 389328704      0 1119544    0    0   548     0 21631 110890  7  2 91  0  0
 4  0   3976 389331136      0 1120892    0    0   112     0 22035 102278  7  2 91  0  0
 8  0   3976 389416000      0 1122440    0    0     0 38684 25096 111171  7  2 90  0  0
 7  0   3976 389431840      0 1123116    0    0     0     0 22087 112561  7  2 91  0  0
11  0   3976 389481024      0 1123796    0    0    20    80 23269 114123  7  2 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0   3976 389456096      0 1125396    0    0   352     0 22610 120747  7  2 90  0  0
11  0   3976 389457792      0 1126072    0    0     0     0 22087 110834  6  2 91  0  0
 5  0   3976 389374848      0 1130716    0    0    52    12 24841 107859  9  2 89  0  0
 7  0   3976 389372096      0 1131396    0    0     0   508 22076 116930  7  2 91  0  0
 6  0   3976 389363200      0 1132144    0    0     8   228 24174 115144  7  2 90  0  0
 6  0   3976 389319104      0 1133912    0    0     0     0 22393 110455  7  2 90  0  0
 5  0   3976 389316032      0 1134712    0    0     0    12 21727 111951  7  2 91  0  0
 9  0   3976 389291840      0 1135968    0    0     0   280 22753 114957  7  2 91  0  0
 6  0   3976 389311552      0 1138332    0    0  1092     8 25503 112392  8  2 90  0  0
 5  0   3976 389309024      0 1139516    0    0     0   280 21952 112024  7  2 91  0  0
 5  0   3976 389306368      0 1140804    0    0     0    16 22853 113435  8  2 90  0  0
 4  0   3976 389306048      0 1141484    0    0     0     0 22235 113492  7  2 91  0  0
 6  0   3976 389269696      0 1142224    0    0     0     8 23001 117675  8  2 90  0  0
 6  0   3976 389276480      0 1148980    0    0     0     4 22067 112507  7  2 91  0  0
 5  0   3976 389303968      0 1150220    0    0     0     8 24001 116846  7  2 90  0  0
 6  0   3976 389259392      0 1151968    0    0     0     4 23753 120637  7  2 91  0  0
 8  0   3976 389264992      0 1152644    0    0     0     0 22897 119304  7  2 91  0  0
 5  0   3976 389389504      0 1153592    0    0   216    24 23149 113672  7  2 91  0  0
 5  0   3976 389435712      0 1154328    0    0     0     0 23521 117423  7  2 91  0  0
 8  0   3976 389388800      0 1155808    0    0   208     4 23134 116431  7  2 90  0  0
 4  0   3976 389348448      0 1156552    0    0     0     0 21855 117046  7  2 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0   3976 389346592      0 1157272    0    0     0     4 22057 113831  7  2 91  0  0
 7  0   3976 389233728      0 1162856    0    0   212    24 23731 119624  8  3 89  0  0
 6  0   3976 389158528      0 1164084    0    0     0 43608 24507 115327  9  2 89  0  0
 6  0   3976 389148480      0 1165296    0    0    96   424 26417 111946  9  2 89  0  0
 6  0   3976 388957792      0 1158068    0    0     0     0 23405 116493  8  2 89  0  0
 4  0   3976 388954496      0 1158808    0    0     0    12 22230 116888  7  2 91  0  0
 6  0   3976 388965664      0 1160968    0    0    80    36 25027 115781  8  2 90  0  0
 6  0   3976 388999520      0 1161724    0    0     0     0 22990 115095  7  2 91  0  0
 5  0   3976 389193792      0 1162464    0    0     0     8 23591 116868  7  2 91  0  0
 5  0   3976 389283680      0 1163144    0    0     0     0 23507 110760  7  2 91  0  0
 5  0   3976 389285024      0 1164528    0    0     0     0 22707 110875  7  2 90  0  0
 8  0   3976 389281600      0 1165232    0    0     0     8 23871 114749  8  2 90  0  0
 7  0   3976 389265408      0 1172988    0    0    16     4 24512 113633  8  2 90  0  0
 8  0   3976 389335872      0 1173692    0    0     0   520 23326 110785  7  2 91  0  0
 7  0   3976 389350400      0 1174368    0    0    16   200 22564 114481  7  2 91  0  0
10  0   3976 389364704      0 1175256    0    0    16     8 22373 111628  7  2 91  0  0
 7  0   3976 389373952      0 1176544    0    0     0   264 22321 109356  7  2 91  0  0
 4  0   3976 389263488      0 1178996    0    0    32     0 23106 105841  8  2 90  0  0
11  0   3976 389113888      0 1179540    0    0     0 35552 22917 117561  7  2 91  0  0
 6  0   3976 389105568      0 1180736    0    0     0     8 22802 116806  7  2 91  0  0
 6  0   3976 389105120      0 1182112    0    0    72     4 22803 116432  7  2 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0   3976 389102496      0 1186456    0    0     0    12 24410 117893  7  2 90  0  0
 6  0   3976 389110336      0 1187748    0    0    16    12 22092 115935  7  2 91  0  0
 9  0   3976 389129216      0 1188484    0    0     0  8064 22330 115416  7  2 91  0  0
 6  0   3976 389171136      0 1189612    0    0     0     4 21824 115637  7  2 91  0  0
 6  0   3976 389181184      0 1190192    0    0     0     8 22859 117652  7  2 91  0  0
 5  0   3976 389190848      0 1191572    0    0     0     0 23119 118171  7  2 90  0  0
12  0   3976 389163232      0 1192176    0    0     0     8 21505 120221  7  2 91  0  0
 8  0   3976 389161504      0 1192860    0    0     0     0 22510 114126  7  2 91  0  0
 7  0   3976 389158240      0 1194124    0    0    16   708 23502 116280  7  2 90  0  0
 6  0   3976 389170144      0 1194912    0    0    72    12 22441 114974  7  2 91  0  0
10  0   3976 389119840      0 1196236    0    0     0     0 23664 116457  8  2 89  0  0
 6  0   3976 389102816      0 1203924    0    0     0    80 22244 116399  7  2 91  0  0
 7  0   3976 389120960      0 1205192    0    0    16   624 23153 116523  7  2 91  0  0
 5  0   3976 389225184      0 1187560    0    0    32     8 23341 111908  7  2 91  0  0
 9  0   3976 389260160      0 1188308    0    0     0     0 21504 115210  7  2 91  0  0
 5  0   3976 389239136      0 1189388    0    0    16     4 22326 111915  7  2 91  0  0
 9  0   3976 389217280      0 1190316    0    0   124    20 22988 115120  7  2 91  0  0
 5  0   3976 389223552      0 1191412    0    0     0    60 22994 105775  7  2 91  0  0
 4  0   3976 389214880      0 1192184    0    0     0    68 23461 107270  7  2 91  0  0
 5  0   3976 389212096      0 1193544    0    0     0     0 22630 109827  7  2 90  0  0
 5  0   3976 389139968      0 1198644    0    0     0    12 21944 114179  8  2 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0   3976 389124128      0 1199484    0    0   128     4 21602 115760  7  2 91  0  0
 5  0   3976 389120064      0 1200984    0    0   176 38696 22755 111111  7  2 90  0  0
 8  0   3976 389079200      0 1202124    0    0     0     8 22418 116889  7  2 91  0  0
 4  0   3976 389077216      0 1204104    0    0     0   496 24861 110973  8  2 90  0  0
 4  0   3976 389075936      0 1205472    0    0   104   204 24321 117654  7  2 91  0  0
 7  0   3976 389075424      0 1206080    0    0     0    20 23089 112580  7  2 91  0  0
 0  0   3976 389117280      0 1206876    0    0    52   260 12599 53331  4  1 95  0  0
 0  0   3976 389164736      0 1207584    0    0     0     0 1298 2198  0  0 100  0  0
 1  0   3976 389145088      0 1208044    0    0    16     0 1446 1906  1  0 99  0  0
 1  0   3976 389145856      0 1208124    0    0     0     4 1568 2021  1  0 99  0  0
 0  0   3976 389146112      0 1213896    0    0     0     0 1047 1846  0  0 100  0  0
 0  0   3976 389146368      0 1213964    0    0     4     0 1562 2686  0  0 100  0  0
 0  0   3976 389146624      0 1213992    0    0     0     4 1210 2087  0  0 100  0  0
 1  0   3976 389146880      0 1214112    0    0    16     0 1035 1753  0  0 100  0  0
 1  0   3976 389146240      0 1214208    0    0     0     0 1493 1915  0  0 100  0  0
 0  0   3976 389186080      0 1215312    0    0    36    12 2035 2339  0  0 99  0  0
 0  0   3976 389188096      0 1215316    0    0     0     0 1295 2417  0  0 100  0  0
 0  0   3976 389188352      0 1215372    0    0     0     0  985 1685  0  0 100  0  0
 0  0   3976 389188864      0 1215372    0    0     0     4  965 1736  0  0 100  0  0
 0  0   3976 389190144      0 1216108    0    0     0     4 1309 2152  0  0 100  0  0
 3  0   3976 389187136      0 1216144    0    0     0     0 1450 1913  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   3976 389232768      0 1216456    0    0     0    20 1283 2120  0  0 100  0  0
 0  0   3976 389233280      0 1216488    0    0     0   408 1063 1870  0  0 100  0  0
 0  0   3976 389233024      0 1216516    0    0     0     0 1089 1977  0  0 100  0  0
 0  0   3976 389234080      0 1217116    0    0   120     4 1651 2443  0  0 100  0  0
 0  0   3976 389235008      0 1217188    0    0     0     0 1078 1958  0  0 100  0  0
 0  0   3976 389235520      0 1217220    0    0     0    16 1223 2153  0  0 100  0  0
 0  0   3976 389236672      0 1217252    0    0     0    64 1144 1999  0  0 100  0  0
 0  0   3976 389237952      0 1217284    0    0     0   688 1056 1893  0  0 100  0  0
 1  0   3976 389197408      0 1217316    0    0     0     0 1844 2114  1  0 99  0  0
 1  0   3976 389194560      0 1217352    0    0     0     4 3730 2389  2  0 98  0  0
 0  0   3976 389125216      0 1208764    0    0    76     0 2786 2677  2  0 98  0  0
 0  0   3976 389124480      0 1208764    0    0     0  1900  968 1750  0  0 100  0  0
 0  0   3976 389124736      0 1208824    0    0     0     0 1008 1828  0  0 100  0  0
 0  0   3976 389125056      0 1208924    0    0     0   504 1331 2090  0  0 100  0  0
 0  0   3976 389125312      0 1208960    0    0     0   196 1118 2086  0  0 100  0  0
