procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0   3976 390471168      0 1032192    0    0     2     2    0    0  0  0 100  0  0
 6  0   3976 390351424      0 1103800    0    0  6888     0 15319 12143  6  1 93  0  0
 4  2   3976 390297600      0 1115656    0    0 11776 18492 14706 11800  5  1 93  0  0
 4  0   3976 390223424      0 1129076    0    0 12904 29248 8187 7462  5  0 95  0  0
 3  0   3976 390199776      0 1135924    0    0  6848    28 5511 5990  5  0 95  0  0
 5  0   3976 390145472      0 1156228    0    0 20308    32 7635 8198  5  0 94  0  0
 5  0   3976 390116448      0 1171900    0    0 17700     4 13241 10700  7  1 92  0  0
 2  0   3976 389989440      0 1190756    0    0 18788    36 5349 6557  3  0 96  0  0
 1  0   3976 389919040      0 1195096    0    0  4140 50100 4014 4087  3  0 97  0  0
 6  0   3976 389890272      0 1195940    0    0   712     0 1406 2373  1  0 99  0  0
 7  0   3976 389856576      0 1198520    0    0  2340    44 8385 16325  6  0 94  0  0
 8  0   3976 389820224      0 1202212    0    0  3648   600 8303 11956  7  0 93  0  0
 8  0   3976 389788896      0 1202488    0    0   212    40 9154 16075  7  1 93  0  0
 9  0   3976 389758272      0 1203172    0    0   628    64 10766 20733  7  1 92  0  0
 7  0   3976 389740160      0 1203368    0    0    88     0 14379 30541  8  1 91  0  0
 8  0   3976 389720928      0 1204052    0    0   420     0 12755 30188  7  1 92  0  0
 6  0   3976 389712704      0 1204248    0    0     0    56 12499 33031  7  1 92  0  0
 6  0   3976 389619872      0 1205000    0    0   220    96 13010 36423  7  1 92  0  0
 6  0   3976 389608320      0 1205724    0    0   200     4 13385 36255  6  1 93  0  0
 7  0   3976 389576640      0 1206004    0    0     0    96 13326 33743  6  1 93  0  0
 9  0   3976 389548864      0 1206816    0    0     0   476 12362 34523  7  1 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0   3976 389525184      0 1207948    0    0    96     8 12012 32067  7  1 92  0  0
 6  0   3976 389526176      0 1208716    0    0   576    52 13331 40744  6  1 93  0  0
 6  0   3976 389545088      0 1208900    0    0   156   100 13499 45416  6  1 93  0  0
 6  0   3976 389570944      0 1209380    0    0    16    56 13587 44940  7  1 92  0  0
 8  0   3976 389574336      0 1210072    0    0   408    16 14562 47051  7  1 92  0  0
 7  0   3976 389575552      0 1210668    0    0   244     8 14350 52076  6  1 92  0  0
 8  0   3976 389489088      0 1211332    0    0    80     0 15164 51162  7  1 92  0  0
 7  0   3976 389492352      0 1211716    0    0     8  5584 16342 66503  6  1 92  0  0
10  0   3976 389438816      0 1212420    0    0   244    92 17003 62677  7  1 92  0  0
 7  0   3976 389437792      0 1213420    0    0     0    52 18477 76926  7  2 92  0  0
 7  0   3976 389443392      0 1215944    0    0    80    56 18382 76195  7  2 91  0  0
 5  0   3976 389447072      0 1216904    0    0   520    24 19228 83710  7  2 92  0  0
